HDR,ROLLING SYSTEM DEMAND,
VD,20200304090000,40186
VD,20200304090500,40333
VD,20200304091000,40317
VD,20200304091500,40365
VD,20200304092000,40474
VD,20200304092500,40485
VD,20200304093000,40510
VD,20200304093500,40492
VD,20200304094000,40566
VD,20200304094500,40537
VD,20200304095000,40491
VD,20200304095500,40471
VD,20200304100000,40608
VD,20200304100500,40557
VD,20200304101000,40373
VD,20200304101500,40282
VD,20200304102000,40198
VD,20200304102500,40128
VD,20200304103000,40072
VD,20200304103500,40107
VD,20200304104000,40091
VD,20200304104500,40000
VD,20200304105000,39872
VD,20200304105500,39726
VD,20200304110000,39681
VD,20200304110500,39712
VD,20200304111000,39744
VD,20200304111500,39754
VD,20200304112000,39955
VD,20200304112500,40031
VD,20200304113000,40064
VD,20200304113500,40141
VD,20200304114000,40123
VD,20200304114500,39996
VD,20200304115000,39942
VD,20200304115500,39969
VD,20200304120000,40003
VD,20200304120500,40094
VD,20200304121000,40035
VD,20200304121500,40078
VD,20200304122000,40163
VD,20200304122500,40288
VD,20200304123000,40479
VD,20200304123500,40577
VD,20200304124000,40452
VD,20200304124500,40504
VD,20200304125000,40545
VD,20200304125500,40628
VD,20200304130000,40727
VD,20200304130500,40783
VD,20200304131000,40809
VD,20200304131500,40671
VD,20200304132000,40719
VD,20200304132500,40643
VD,20200304133000,40609
VD,20200304133500,40539
VD,20200304134000,40519
VD,20200304134500,40511
VD,20200304135000,40416
VD,20200304135500,40398
VD,20200304140000,40343
VD,20200304140500,40476
VD,20200304141000,40554
VD,20200304141500,40566
VD,20200304142000,40580
VD,20200304142500,40590
VD,20200304143000,40557
VD,20200304143500,40536
VD,20200304144000,40617
VD,20200304144500,40767
VD,20200304145000,40693
VD,20200304145500,40815
VD,20200304150000,40883
VD,20200304150500,40861
VD,20200304151000,40957
VD,20200304151500,41023
VD,20200304152000,41028
VD,20200304152500,41147
VD,20200304153000,41276
VD,20200304153500,41414
VD,20200304154000,41587
VD,20200304154500,41809
VD,20200304155000,42040
VD,20200304155500,42364
VD,20200304160000,42441
VD,20200304160500,42424
VD,20200304161000,42470
VD,20200304161500,42440
VD,20200304162000,42511
VD,20200304162500,42670
VD,20200304163000,42692
VD,20200304163500,42762
VD,20200304164000,42996
VD,20200304164500,43149
VD,20200304165000,43535
VD,20200304165500,43619
VD,20200304170000,43754
VD,20200304170500,44098
VD,20200304171000,44152
VD,20200304171500,44211
VD,20200304172000,44227
VD,20200304172500,44351
VD,20200304173000,44487
VD,20200304173500,44536
VD,20200304174000,44471
VD,20200304174500,44467
VD,20200304175000,44626
VD,20200304175500,44747
VD,20200304180000,45063
VD,20200304180500,45459
VD,20200304181000,45592
VD,20200304181500,45679
VD,20200304182000,45779
VD,20200304182500,45729
VD,20200304183000,45721
VD,20200304183500,45779
VD,20200304184000,45693
VD,20200304184500,45585
VD,20200304185000,45488
VD,20200304185500,45426
VD,20200304190000,45324
VD,20200304190500,45173
VD,20200304191000,44915
VD,20200304191500,44712
VD,20200304192000,44570
VD,20200304192500,44364
VD,20200304193000,44267
VD,20200304193500,44230
VD,20200304194000,44285
VD,20200304194500,44115
VD,20200304195000,44126
VD,20200304195500,43980
VD,20200304200000,43858
VD,20200304200500,43892
VD,20200304201000,43827
VD,20200304201500,43676
VD,20200304202000,43441
VD,20200304202500,43022
VD,20200304203000,42629
VD,20200304203500,42199
VD,20200304204000,42000
VD,20200304204500,41655
VD,20200304205000,41227
VD,20200304205500,40888
VD,20200304210000,40613
VD,20200304210500,40288
VD,20200304211000,39908
VD,20200304211500,39611
VD,20200304212000,39228
VD,20200304212500,38921
VD,20200304213000,38660
VD,20200304213500,38264
VD,20200304214000,37818
VD,20200304214500,37377
VD,20200304215000,37200
VD,20200304215500,36894
VD,20200304220000,36412
VD,20200304220500,36309
VD,20200304221000,35715
VD,20200304221500,35351
VD,20200304222000,34953
VD,20200304222500,34548
VD,20200304223000,34162
VD,20200304223500,33948
VD,20200304224000,33765
VD,20200304224500,33460
VD,20200304225000,33222
VD,20200304225500,32899
VD,20200304230000,32474
VD,20200304230500,32327
VD,20200304231000,32214
VD,20200304231500,32104
VD,20200304232000,31961
VD,20200304232500,31720
VD,20200304233000,31541
VD,20200304233500,31615
VD,20200304234000,31794
VD,20200304234500,31873
VD,20200304235000,31854
VD,20200304235500,31718
FTR,288,
